iter	Passed	Remaining
678	4102	56322
679	4109	56318
680	4115	56315
681	4121	56307
682	4127	56300
683	4133	56299
684	4139	56289
685	4144	56277
686	4151	56272
687	4156	56260
688	4162	56244
689	4167	56236
690	4173	56226
691	4179	56222
692	4185	56216
693	4192	56221
694	4198	56218
695	4206	56230
696	4214	56258
697	4222	56275
698	4229	56279
699	4236	56283
700	4243	56285
701	4248	56269
702	4254	56258
703	4275	56461
704	4281	56455
705	4287	56445
706	4293	56439
707	4298	56421
708	4304	56414
709	4311	56410
710	4316	56394
711	4322	56381
712	4327	56368
713	4332	56350
714	4338	56340
715	4344	56332
716	4350	56326
717	4356	56320
718	4362	56315
719	4369	56320
720	4376	56318
721	4382	56313
722	4388	56307
723	4394	56304
724	4400	56298
725	4405	56282
726	4411	56272
727	4417	56262
728	4423	56253
729	4428	56236
730	4433	56221
731	4439	56209
732	4445	56196
733	4451	56195
734	4457	56188
735	4463	56177
736	4468	56161
737	4473	56147
738	4479	56140
739	4485	56129
740	4490	56114
741	4496	56108
742	4502	56096
743	4507	56082
744	4513	56073
745	4520	56071
746	4527	56077
747	4533	56073
748	4540	56076
749	4546	56078
750	4552	56070
751	4558	56060
752	4564	56050
753	4570	56044
754	4576	56038
755	4582	56037
756	4588	56023
757	4594	56014
758	4599	56000
759	4605	55987
760	4610	55979
761	4617	55979
762	4622	55965
763	4628	55955
764	4634	55943
765	4639	55926
766	4645	55917
767	4650	55906
768	4656	55891
769	4662	55884
770	4668	55878
771	4673	55866
772	4679	55859
773	4685	55851
774	4690	55835
775	4697	55832
776	4702	55818
777	4708	55807
778	4713	55798
779	4719	55787
780	4741	55963
781	4746	55951
782	4751	55934
783	4757	55929
784	4763	55917
785	4768	55903
786	4774	55892
787	4780	55882
788	4785	55867
789	4791	55857
790	4796	55845
791	4802	55839
792	4808	55828
793	4814	55818
794	4820	55810
795	4826	55805
796	4831	55793
797	4837	55786
798	4843	55775
799	4848	55760
800	4854	55751
801	4860	55740
802	4865	55730
803	4871	55722
804	4877	55708
805	4882	55697
806	4888	55690
807	4894	55680
808	4900	55670
809	4905	55655
810	4910	55641
811	4916	55631
812	4922	55621
813	4928	55618
814	4934	55610
815	4940	55599
816	4946	55593
817	4951	55580
818	4957	55572
819	4963	55562
820	4968	55551
821	4974	55540
822	4979	55529
823	4986	55527
824	4991	55514
825	4997	55505
826	5003	55494
827	5008	55484
828	5014	55476
829	5020	55462
830	5026	55458
831	5032	55454
832	5037	55440
833	5043	55429
834	5049	55421
835	5055	55416
836	5061	55408
837	5066	55397
838	5072	55389
839	5078	55380
840	5084	55370
841	5090	55364
842	5095	55351
843	5101	55337
844	5106	55323
845	5112	55316
846	5118	55307
847	5123	55298
848	5130	55298
849	5136	55293
850	5142	55291
851	5148	55285
852	5154	55276
853	5161	55272
854	5167	55266
855	5172	55254
856	5178	55247
857	5184	55241
858	5189	55227
859	5195	55216
860	5201	55205
861	5206	55190
862	5211	55180
863	5217	55174
864	5224	55169
865	5229	55161
866	5235	55151
867	5241	55141
868	5246	55131
869	5252	55119
870	5258	55114
871	5264	55106
872	5270	55101
873	5276	55095
874	5282	55091
875	5288	55087
876	5295	55085
877	5301	55076
878	5306	55066
879	5313	55063
880	5319	55057
881	5325	55054
882	5331	55046
883	5336	55035
884	5343	55031
885	5349	55028
886	5355	55024
887	5362	55022
888	5368	55021
889	5375	55020
890	5380	55009
891	5386	54999
892	5392	54993
893	5398	54983
894	5404	54977
895	5409	54964
896	5415	54956
897	5420	54942
898	5426	54935
899	5431	54921
900	5437	54914
901	5443	54906
902	5458	54988
903	5463	54977
904	5469	54964
905	5474	54955
