mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
3.914576292037964,0.04499840811909367,0.0965271790822347,0.009662037092696474,0.8,0.05,6,200,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",-604404.5541285644,-505848.2709070545,-526630.41762419,-545627.7475532696,42418.62129564758,13,-281786.51433602424,-292267.7690009708,-288809.7170625301,-287621.33346650837,4360.685459598926
3.657550493876139,0.06570851732147324,0.09677505493164062,0.021129726472790385,0.8,0.05,6,200,1,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'reg_alpha': 1, 'reg_lambda': 0, 'subsample': 0.8}",-596539.3265240017,-503511.6028379798,-522883.8353367951,-540978.2548995921,40075.722975691984,6,-276779.5712866315,-282513.14238041366,-279884.5269272105,-279725.74686475185,2343.4117155747244
3.5425832271575928,0.10720823091118883,0.06400044759114583,0.006165192334860938,0.8,0.05,6,200,1,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'reg_alpha': 1, 'reg_lambda': 1, 'subsample': 0.8}",-604404.5584324406,-505848.2733844022,-526630.4162883693,-545627.749368404,42418.622708529685,14,-281786.5196373281,-292267.7766127337,-288809.723896651,-287621.3400489043,4360.686419461292
1.5435474713643391,0.05215841573829395,0.05973625183105469,0.009664364131610197,0.8,0.1,4,100,0,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 0, 'subsample': 0.8}",-618720.4935353808,-522294.97172099765,-532781.3368277474,-557932.2673613754,43196.4295926145,27,-383877.3312854824,-393867.33546180034,-393770.5706356814,-390505.0791276547,4686.691935858263
1.565703312555949,0.0379852499091459,0.046567281087239586,0.003539812884836263,0.8,0.1,4,100,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",-606407.4102535095,-511212.97797182214,-533534.9713359072,-550385.1198537463,40648.416231247495,16,-393272.56294988643,-405340.91837927233,-405190.4110711331,-401267.96413343056,5653.936279373025
1.3348925113677979,0.04929039303286446,0.03333441416422526,0.0009415044804354832,0.8,0.1,4,100,1,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_alpha': 1, 'reg_lambda': 0, 'subsample': 0.8}",-618720.5009884593,-522294.9669765069,-532781.3383982719,-557932.2687877461,43196.43408866583,28,-383877.3337965759,-393867.34081168816,-393770.5778427788,-390505.0841503476,4686.693705373329
1.207659085591634,0.07084975811307459,0.03391075134277344,0.00218907462177292,0.8,0.1,4,100,1,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_alpha': 1, 'reg_lambda': 1, 'subsample': 0.8}",-606407.410661141,-511212.9741137489,-533534.9705601993,-550385.1184450297,40648.417765019745,15,-393272.56682919245,-405340.92092363036,-405190.4149094314,-401267.9675540847,5653.935949335569
1.6691065629323323,0.032122864850547966,0.0560453732808431,0.008524420278527673,0.8,0.1,4,200,0,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 0, 'subsample': 0.8}",-611390.30192504,-517324.83222624107,-528513.2151094424,-552409.4497535744,41955.140090652996,19,-335252.73678697814,-340881.71109640074,-342721.7012974347,-339618.7163936046,3177.2865183028234
1.6732600529988606,0.0031079150325071317,0.06041073799133301,0.013592673020112161,0.8,0.1,4,200,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",-598647.623837112,-506295.1974404978,-529285.1605805256,-544742.6606193784,39255.09220405985,10,-340250.954970193,-350310.3469737025,-351189.7283390108,-347250.34342763544,4962.3184756084
1.781564474105835,0.047443395443920316,0.05215533574422201,0.006562480163780089,0.8,0.1,4,200,1,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_alpha': 1, 'reg_lambda': 0, 'subsample': 0.8}",-611390.3093177512,-517324.8262700204,-528513.2140889482,-552409.44989224,41955.14540892153,20,-335252.7439752844,-340881.7200592355,-342721.70858095447,-339618.7242051581,3177.2867844279335
1.7854913870493572,0.06213119454317756,0.06105168660481771,0.009969696755722277,0.8,0.1,4,200,1,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_alpha': 1, 'reg_lambda': 1, 'subsample': 0.8}",-598647.6210677449,-506295.1843701648,-529285.1602062813,-544742.6552147303,39255.09525269557,9,-340250.95958132035,-350310.35343779525,-351189.734541584,-347250.34918689984,4962.319277612438
1.7898738384246826,0.020825246880229315,0.04897888501485189,0.00870426741453936,0.8,0.1,6,100,0,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 0, 'subsample': 0.8}",-604511.555583184,-500396.0507488406,-531538.656015493,-545482.0874491725,43633.50430450464,12,-280037.96274898935,-285661.69712360424,-285822.8632885515,-283840.84105371503,2689.84586715744
1.69907808303833,0.050865863015458604,0.05233303705851237,0.008957077825933394,0.8,0.1,6,100,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",-607360.5368664645,-502385.91557936533,-523148.97293725406,-544298.4751276945,45390.1153760013,7,-286816.34781055007,-296356.52204179607,-291909.3225479773,-291694.06413344113,3897.7329504387553
1.727154016494751,0.08080345639133879,0.04933317502339681,0.0038590054681905198,0.8,0.1,6,100,1,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'reg_alpha': 1, 'reg_lambda': 0, 'subsample': 0.8}",-604511.5525008332,-500396.03150266735,-531538.6521603906,-545482.0787212971,43633.509954119894,11,-280037.97549275775,-285661.70838282176,-285822.87215697934,-283840.85201085295,2689.8445803224517
1.6590093771616619,0.023285376385392423,0.04700056711832682,0.010614929105339345,0.8,0.1,6,100,1,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'reg_alpha': 1, 'reg_lambda': 1, 'subsample': 0.8}",-607360.5369062091,-502385.9162964268,-523148.9774580578,-544298.4768868979,45390.114471544075,8,-286816.3563137972,-296356.5300866627,-291909.3293708415,-291694.0719237671,3897.7327367337043
2.848458449045817,0.022790842252060402,0.09376867612202962,0.013813994872475524,0.8,0.1,6,200,0,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 0, 'subsample': 0.8}",-598593.0232867083,-494146.47293073614,-526940.1521281298,-539893.2161151915,43612.74179491845,4,-227403.3232788224,-229556.83041019627,-231417.71646002054,-229459.29004967972,1640.3198356336452
2.8494063218434653,0.11074689513475905,0.06209174791971842,0.0009311464051942047,0.8,0.1,6,200,0,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}",-603159.194240801,-496423.72928287653,-518061.1646680573,-539214.6960639117,46070.37217006629,1,-231597.06471503346,-240019.91045551677,-238320.23718740328,-236645.73745265117,3636.760886031979
2.799654245376587,0.02813002620039567,0.061334451039632164,0.0038593762160511135,0.8,0.1,6,200,1,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'reg_alpha': 1, 'reg_lambda': 0, 'subsample': 0.8}",-598593.0071502957,-494146.45705915074,-526940.1427746005,-539893.2023280157,43612.74103081384,3,-227403.34623878216,-229556.85216391648,-231417.73023561097,-229459.3095461032,1640.3161565617384
2.6486992835998535,0.05115609522306211,0.055333852767944336,0.0009432464746957742,0.8,0.1,6,200,1,1,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'reg_alpha': 1, 'reg_lambda': 1, 'subsample': 0.8}",-603159.1894980636,-496423.73054066347,-518061.1719722571,-539214.6973369947,46070.36846845749,2,-231597.07640547096,-240019.92239717254,-238320.2487635587,-236645.74918873407,3636.7609461851953
